Date,Appliances,Relation,Appliance start times
01-01,['kitchen_lights', 'microwave'],>,['13:15:00', '13:30:00']
07-30,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:15:00', '21:15:00']
07-30,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '20:15:00']
07-30,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '21:15:00']
07-30,['amp_livingroom', 'tv'],>,['13:45:00', '13:45:00']
07-30,['amp_livingroom', 'tv'],>,['18:45:00', '18:45:00']
07-30,['amp_livingroom', 'subwoofer_livingroom'],>,['12:15:00', '12:15:00']
07-30,['amp_livingroom', 'subwoofer_livingroom'],>,['13:45:00', '13:45:00']
07-30,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
07-30,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '20:15:00']
07-30,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '21:15:00']
07-30,['subwoofer_livingroom', 'tv'],>,['18:45:00', '18:45:00']
07-30,['htpc', 'kitchen_lights'],>,['18:45:00', '20:15:00']
07-30,['htpc', 'kitchen_lights'],>,['18:45:00', '21:15:00']
07-30,['htpc', 'tv'],>,['18:45:00', '18:45:00']
07-30,['htpc', 'subwoofer_livingroom'],>,['12:15:00', '12:15:00']
07-30,['htpc', 'subwoofer_livingroom'],>,['13:45:00', '13:45:00']
07-30,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
07-30,['gigE_&_USBhub', 'laptop'],>,['18:45:00', '18:45:00']
07-31,['kitchen_lights', 'microwave'],>,['07:15:00', '07:15:00']
07-31,['kitchen_lights', 'microwave'],>,['16:45:00', '17:00:00']
07-31,['kitchen_lights', 'microwave'],>,['18:15:00', '18:30:00']
07-31,['tv', 'kitchen_lights'],>,['18:45:00', '20:45:00']
07-31,['tv', 'kitchen_lights'],>,['18:45:00', '21:45:00']
07-31,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:30:00', '20:45:00']
07-31,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:30:00', '21:45:00']
07-31,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '20:45:00']
07-31,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '21:45:00']
07-31,['amp_livingroom', 'tv'],>,['13:00:00', '13:00:00']
07-31,['amp_livingroom', 'tv'],>,['18:45:00', '18:45:00']
07-31,['amp_livingroom', 'subwoofer_livingroom'],>,['13:00:00', '13:00:00']
07-31,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
07-31,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '20:45:00']
07-31,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '21:45:00']
07-31,['htpc', 'kitchen_lights'],>,['18:45:00', '20:45:00']
07-31,['htpc', 'kitchen_lights'],>,['18:45:00', '21:45:00']
07-31,['htpc', 'tv'],>,['13:00:00', '13:00:00']
07-31,['htpc', 'tv'],>,['18:45:00', '18:45:00']
07-31,['htpc', 'subwoofer_livingroom'],>,['13:00:00', '13:00:00']
07-31,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
07-31,['gigE_&_USBhub', 'laptop'],>,['05:45:00', '05:45:00']
07-31,['hair_dryer', 'straighteners'],>,['17:30:00', '17:30:00']
08-01,['kitchen_lights', 'microwave'],>,['20:00:00', '20:30:00']
08-01,['amp_livingroom', 'kitchen_lights'],>,['15:30:00', '19:00:00']
08-01,['amp_livingroom', 'subwoofer_livingroom'],>,['15:30:00', '15:30:00']
08-01,['subwoofer_livingroom', 'kitchen_lights'],>,['15:30:00', '19:00:00']
08-01,['subwoofer_livingroom', 'tv'],>,['14:00:00', '14:00:00']
08-01,['htpc', 'tv'],>,['14:00:00', '14:00:00']
08-01,['htpc', 'subwoofer_livingroom'],>,['14:00:00', '14:00:00']
08-01,['gigE_&_USBhub', 'hifi_office'],>,['10:15:00', '10:30:00']
08-01,['gigE_&_USBhub', 'lcd_office'],>,['10:15:00', '10:15:00']
08-01,['gigE_&_USBhub', 'lcd_office'],>,['10:15:00', '12:45:00']
08-01,['gigE_&_USBhub', 'lcd_office'],>,['10:15:00', '16:45:00']
08-01,['gigE_&_USBhub', 'lcd_office'],>,['10:15:00', '19:45:00']
08-01,['gigE_&_USBhub', 'laptop'],>,['10:15:00', '10:15:00']
08-01,['laptop', 'lcd_office'],>,['10:15:00', '10:15:00']
08-01,['laptop', 'lcd_office'],>,['10:15:00', '12:45:00']
08-01,['laptop', 'lcd_office'],>,['10:15:00', '16:45:00']
08-01,['laptop', 'lcd_office'],>,['10:15:00', '19:45:00']
08-02,['kitchen_lights', 'microwave'],>,['06:45:00', '07:00:00']
08-09,['tv', 'kitchen_lights'],>,['18:45:00', '20:45:00']
08-09,['amp_livingroom', 'subwoofer_livingroom'],>,['15:45:00', '15:45:00']
08-09,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-09,['htpc', 'subwoofer_livingroom'],>,['15:45:00', '15:45:00']
08-09,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-09,['gigE_&_USBhub', 'lcd_office'],>,['19:00:00', '19:00:00']
08-09,['gigE_&_USBhub', 'lcd_office'],>,['19:00:00', '20:30:00']
08-09,['gigE_&_USBhub', 'laptop'],>,['19:00:00', '19:00:00']
08-09,['gigE_&_USBhub', 'office_lamp3'],>,['19:00:00', '19:15:00']
08-09,['laptop', 'lcd_office'],>,['19:00:00', '19:00:00']
08-10,['kitchen_lights', 'microwave'],>,['07:15:00', '07:15:00']
08-10,['tv', 'kitchen_lights'],>,['07:15:00', '07:15:00']
08-10,['tv', 'kitchen_lights'],>,['18:30:00', '18:30:00']
08-10,['tv', 'kitchen_lights'],>,['18:30:00', '19:45:00']
08-10,['amp_livingroom', 'kitchen_lights'],>,['07:15:00', '07:15:00']
08-10,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '19:45:00']
08-10,['amp_livingroom', 'tv'],>,['11:15:00', '11:15:00']
08-10,['amp_livingroom', 'tv'],>,['14:45:00', '14:45:00']
08-10,['amp_livingroom', 'subwoofer_livingroom'],>,['07:15:00', '07:30:00']
08-10,['amp_livingroom', 'subwoofer_livingroom'],>,['11:15:00', '11:30:00']
08-10,['amp_livingroom', 'subwoofer_livingroom'],>,['14:45:00', '14:45:00']
08-10,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-10,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '19:45:00']
08-10,['subwoofer_livingroom', 'tv'],>,['14:45:00', '14:45:00']
08-10,['htpc', 'kitchen_lights'],>,['18:45:00', '19:45:00']
08-10,['htpc', 'tv'],>,['14:45:00', '14:45:00']
08-10,['htpc', 'subwoofer_livingroom'],>,['07:30:00', '07:30:00']
08-10,['htpc', 'subwoofer_livingroom'],>,['11:30:00', '11:30:00']
08-10,['htpc', 'subwoofer_livingroom'],>,['14:45:00', '14:45:00']
08-10,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-11,['tv', 'kitchen_lights'],>,['18:45:00', '18:45:00']
08-11,['tv', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-11,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:15:00', '21:00:00']
08-11,['amp_livingroom', 'kitchen_lights'],>,['06:45:00', '07:45:00']
08-11,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '18:45:00']
08-11,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-11,['amp_livingroom', 'tv'],>,['12:45:00', '15:15:00']
08-11,['amp_livingroom', 'tv'],>,['12:45:00', '16:15:00']
08-11,['amp_livingroom', 'tv'],>,['17:00:00', '17:00:00']
08-11,['amp_livingroom', 'tv'],>,['18:45:00', '18:45:00']
08-11,['amp_livingroom', 'subwoofer_livingroom'],>,['12:45:00', '15:15:00']
08-11,['amp_livingroom', 'subwoofer_livingroom'],>,['12:45:00', '16:15:00']
08-11,['amp_livingroom', 'subwoofer_livingroom'],>,['17:00:00', '17:00:00']
08-11,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-11,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '18:45:00']
08-11,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-11,['subwoofer_livingroom', 'tv'],>,['15:15:00', '15:15:00']
08-11,['subwoofer_livingroom', 'tv'],>,['16:15:00', '16:15:00']
08-11,['subwoofer_livingroom', 'tv'],>,['17:00:00', '17:00:00']
08-11,['subwoofer_livingroom', 'tv'],>,['18:45:00', '18:45:00']
08-11,['htpc', 'kitchen_lights'],>,['18:45:00', '18:45:00']
08-11,['htpc', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-11,['htpc', 'tv'],>,['15:15:00', '15:15:00']
08-11,['htpc', 'tv'],>,['16:15:00', '16:15:00']
08-11,['htpc', 'tv'],>,['16:15:00', '17:00:00']
08-11,['htpc', 'tv'],>,['18:45:00', '18:45:00']
08-11,['htpc', 'subwoofer_livingroom'],>,['15:15:00', '15:15:00']
08-11,['htpc', 'subwoofer_livingroom'],>,['16:15:00', '16:15:00']
08-11,['htpc', 'subwoofer_livingroom'],>,['16:15:00', '17:00:00']
08-11,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-11,['hair_dryer', 'straighteners'],>,['19:00:00', '19:00:00']
08-12,['kitchen_lights', 'microwave'],>,['07:45:00', '08:15:00']
08-12,['kitchen_lights', 'microwave'],>,['17:30:00', '17:30:00']
08-12,['amp_livingroom', 'tv'],>,['13:00:00', '13:00:00']
08-12,['amp_livingroom', 'tv'],>,['19:15:00', '19:15:00']
08-12,['amp_livingroom', 'subwoofer_livingroom'],>,['13:00:00', '13:00:00']
08-12,['amp_livingroom', 'subwoofer_livingroom'],>,['16:15:00', '16:15:00']
08-12,['amp_livingroom', 'subwoofer_livingroom'],>,['19:15:00', '19:15:00']
08-12,['subwoofer_livingroom', 'tv'],>,['13:00:00', '13:00:00']
08-12,['subwoofer_livingroom', 'tv'],>,['19:15:00', '19:15:00']
08-12,['htpc', 'kitchen_lights'],>,['16:15:00', '17:30:00']
08-12,['htpc', 'kitchen_lights'],>,['16:15:00', '18:45:00']
08-12,['htpc', 'tv'],>,['13:00:00', '13:00:00']
08-12,['htpc', 'tv'],>,['16:15:00', '19:15:00']
08-12,['htpc', 'subwoofer_livingroom'],>,['13:00:00', '13:00:00']
08-12,['htpc', 'subwoofer_livingroom'],>,['16:15:00', '16:15:00']
08-12,['htpc', 'subwoofer_livingroom'],>,['16:15:00', '19:15:00']
08-12,['lcd_office', 'office_lamp3'],>,['13:15:00', '13:15:00']
08-12,['gigE_&_USBhub', 'lcd_office'],>,['13:15:00', '13:15:00']
08-12,['gigE_&_USBhub', 'laptop'],>,['13:15:00', '13:15:00']
08-12,['gigE_&_USBhub', 'office_lamp3'],>,['13:15:00', '13:15:00']
08-12,['laptop', 'lcd_office'],>,['13:15:00', '13:15:00']
08-12,['laptop', 'office_lamp3'],>,['13:15:00', '13:15:00']
08-13,['kitchen_lights', 'microwave'],>,['06:15:00', '06:15:00']
08-13,['kitchen_lights', 'microwave'],>,['15:30:00', '17:15:00']
08-13,['tv', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-13,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:00:00', '21:00:00']
08-13,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-13,['amp_livingroom', 'tv'],>,['18:45:00', '18:45:00']
08-13,['amp_livingroom', 'subwoofer_livingroom'],>,['12:45:00', '12:45:00']
08-13,['amp_livingroom', 'subwoofer_livingroom'],>,['17:30:00', '17:30:00']
08-13,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '19:00:00']
08-13,['subwoofer_livingroom', 'kitchen_lights'],>,['19:00:00', '21:00:00']
08-13,['htpc', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-13,['htpc', 'tv'],>,['18:45:00', '18:45:00']
08-13,['htpc', 'subwoofer_livingroom'],>,['12:45:00', '12:45:00']
08-13,['htpc', 'subwoofer_livingroom'],>,['17:30:00', '17:30:00']
08-13,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '19:00:00']
08-13,['gigE_&_USBhub', 'lcd_office'],>,['18:30:00', '18:30:00']
08-13,['gigE_&_USBhub', 'laptop'],>,['18:30:00', '18:30:00']
08-13,['gigE_&_USBhub', 'office_lamp3'],>,['18:30:00', '18:30:00']
08-13,['laptop', 'lcd_office'],>,['18:30:00', '18:30:00']
08-13,['laptop', 'office_lamp3'],>,['18:30:00', '18:30:00']
08-14,['kitchen_lights', 'microwave'],>,['16:30:00', '17:15:00']
08-14,['tv', 'kitchen_lights'],>,['18:45:00', '19:15:00']
08-14,['tv', 'kitchen_lights'],>,['18:45:00', '20:15:00']
08-14,['tv', 'kitchen_lights'],>,['18:45:00', '21:30:00']
08-14,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:15:00', '19:15:00']
08-14,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:15:00', '20:15:00']
08-14,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:15:00', '21:30:00']
08-14,['amp_livingroom', 'kitchen_lights'],>,['06:30:00', '06:30:00']
08-14,['amp_livingroom', 'kitchen_lights'],>,['06:30:00', '07:30:00']
08-14,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '19:15:00']
08-14,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '20:15:00']
08-14,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '21:30:00']
08-14,['amp_livingroom', 'tv'],>,['13:15:00', '13:15:00']
08-14,['amp_livingroom', 'tv'],>,['18:45:00', '18:45:00']
08-14,['amp_livingroom', 'subwoofer_livingroom'],>,['06:30:00', '06:30:00']
08-14,['amp_livingroom', 'subwoofer_livingroom'],>,['13:15:00', '13:15:00']
08-14,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-14,['subwoofer_livingroom', 'kitchen_lights'],>,['06:30:00', '06:30:00']
08-14,['subwoofer_livingroom', 'kitchen_lights'],>,['06:30:00', '07:30:00']
08-14,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '19:15:00']
08-14,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '20:15:00']
08-14,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '21:30:00']
08-14,['subwoofer_livingroom', 'tv'],>,['13:15:00', '13:15:00']
08-14,['subwoofer_livingroom', 'tv'],>,['18:45:00', '18:45:00']
08-14,['htpc', 'kitchen_lights'],>,['18:45:00', '19:15:00']
08-14,['htpc', 'kitchen_lights'],>,['18:45:00', '20:15:00']
08-14,['htpc', 'kitchen_lights'],>,['18:45:00', '21:30:00']
08-14,['htpc', 'tv'],>,['13:15:00', '13:15:00']
08-14,['htpc', 'tv'],>,['18:45:00', '18:45:00']
08-14,['htpc', 'subwoofer_livingroom'],>,['13:15:00', '13:15:00']
08-14,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
08-14,['lcd_office', 'office_lamp3'],>,['18:30:00', '18:30:00']
08-14,['gigE_&_USBhub', 'lcd_office'],>,['18:30:00', '18:30:00']
08-14,['gigE_&_USBhub', 'laptop'],>,['18:30:00', '19:00:00']
08-14,['gigE_&_USBhub', 'office_lamp3'],>,['18:30:00', '18:30:00']
08-15,['kitchen_lights', 'microwave'],>,['05:30:00', '05:30:00']
08-15,['kitchen_lights', 'microwave'],>,['11:30:00', '11:45:00']
08-15,['kitchen_lights', 'microwave'],>,['18:30:00', '18:30:00']
08-15,['tv', 'kitchen_lights'],>,['18:45:00', '19:30:00']
08-15,['tv', 'kitchen_lights'],>,['18:45:00', '20:45:00']
08-15,['tv', 'kitchen_lights'],>,['18:45:00', '22:00:00']
08-15,['amp_livingroom', 'kitchen_lights'],>,['05:45:00', '06:45:00']
08-15,['amp_livingroom', 'kitchen_lights'],>,['05:45:00', '08:00:00']
08-15,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '17:00:00']
08-15,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '18:30:00']
08-15,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '19:30:00']
08-15,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '20:45:00']
08-15,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '22:00:00']
08-15,['amp_livingroom', 'tv'],>,['12:15:00', '12:15:00']
08-15,['amp_livingroom', 'tv'],>,['16:30:00', '18:45:00']
08-15,['amp_livingroom', 'subwoofer_livingroom'],>,['12:15:00', '12:15:00']
08-15,['amp_livingroom', 'subwoofer_livingroom'],>,['16:30:00', '16:30:00']
08-15,['subwoofer_livingroom', 'kitchen_lights'],>,['16:30:00', '17:00:00']
08-15,['subwoofer_livingroom', 'kitchen_lights'],>,['16:30:00', '18:30:00']
08-15,['subwoofer_livingroom', 'kitchen_lights'],>,['16:30:00', '19:30:00']
08-15,['subwoofer_livingroom', 'kitchen_lights'],>,['16:30:00', '20:45:00']
08-15,['subwoofer_livingroom', 'kitchen_lights'],>,['16:30:00', '22:00:00']
08-15,['subwoofer_livingroom', 'tv'],>,['12:15:00', '12:15:00']
08-15,['subwoofer_livingroom', 'tv'],>,['16:30:00', '18:45:00']
08-15,['htpc', 'kitchen_lights'],>,['18:45:00', '19:30:00']
08-15,['htpc', 'kitchen_lights'],>,['18:45:00', '20:45:00']
08-15,['htpc', 'kitchen_lights'],>,['18:45:00', '22:00:00']
08-15,['htpc', 'tv'],>,['12:15:00', '12:15:00']
08-15,['htpc', 'tv'],>,['18:45:00', '18:45:00']
08-15,['htpc', 'subwoofer_livingroom'],>,['12:15:00', '12:15:00']
08-15,['hifi_office', 'office_lamp3'],>,['18:45:00', '18:45:00']
08-15,['lcd_office', 'office_lamp3'],>,['18:45:00', '18:45:00']
08-15,['gigE_&_USBhub', 'hifi_office'],>,['18:45:00', '18:45:00']
08-15,['gigE_&_USBhub', 'lcd_office'],>,['18:45:00', '18:45:00']
08-15,['gigE_&_USBhub', 'laptop'],>,['18:45:00', '18:45:00']
08-15,['gigE_&_USBhub', 'office_lamp3'],>,['18:45:00', '18:45:00']
08-15,['laptop', 'lcd_office'],>,['18:45:00', '18:45:00']
08-15,['laptop', 'office_lamp3'],>,['18:45:00', '18:45:00']
08-15,['hair_dryer', 'straighteners'],>,['07:15:00', '07:15:00']
08-16,['kitchen_lights', 'microwave'],>,['21:00:00', '21:15:00']
08-16,['amp_livingroom', 'kitchen_lights'],>,['07:00:00', '07:00:00']
08-16,['amp_livingroom', 'kitchen_lights'],>,['07:00:00', '08:00:00']
08-16,['amp_livingroom', 'kitchen_lights'],>,['15:00:00', '17:45:00']
08-16,['amp_livingroom', 'tv'],>,['15:00:00', '19:00:00']
08-16,['amp_livingroom', 'subwoofer_livingroom'],>,['07:00:00', '07:00:00']
08-16,['amp_livingroom', 'subwoofer_livingroom'],>,['15:00:00', '19:15:00']
08-16,['subwoofer_livingroom', 'kitchen_lights'],>,['07:00:00', '07:00:00']
08-16,['subwoofer_livingroom', 'kitchen_lights'],>,['07:00:00', '08:00:00']
08-16,['htpc', 'kitchen_lights'],>,['18:45:00', '21:00:00']
08-16,['htpc', 'tv'],>,['18:45:00', '19:00:00']
08-16,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '19:15:00']
08-17,['kitchen_lights', 'microwave'],>,['08:00:00', '08:15:00']
08-17,['tv', 'kitchen_lights'],>,['19:15:00', '20:00:00']
08-17,['tv', 'kitchen_lights'],>,['19:15:00', '21:00:00']
08-17,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:15:00', '20:00:00']
08-17,['amp_livingroom', 'kitchen_lights'],>,['14:00:00', '16:00:00']
08-17,['amp_livingroom', 'kitchen_lights'],>,['14:00:00', '17:00:00']
08-17,['amp_livingroom', 'kitchen_lights'],>,['14:00:00', '18:30:00']
08-17,['amp_livingroom', 'kitchen_lights'],>,['14:00:00', '20:00:00']
08-17,['amp_livingroom', 'tv'],>,['14:00:00', '14:00:00']
08-17,['subwoofer_livingroom', 'kitchen_lights'],>,['07:00:00', '08:00:00']
08-17,['subwoofer_livingroom', 'kitchen_lights'],>,['14:00:00', '16:00:00']
08-17,['subwoofer_livingroom', 'kitchen_lights'],>,['14:00:00', '17:00:00']
08-17,['subwoofer_livingroom', 'kitchen_lights'],>,['14:00:00', '18:30:00']
08-17,['subwoofer_livingroom', 'kitchen_lights'],>,['14:00:00', '20:00:00']
08-17,['subwoofer_livingroom', 'kitchen_lights'],>,['14:00:00', '21:00:00']
08-17,['subwoofer_livingroom', 'tv'],>,['14:00:00', '14:00:00']
08-17,['subwoofer_livingroom', 'tv'],>,['14:00:00', '19:15:00']
08-17,['htpc', 'kitchen_lights'],>,['19:15:00', '20:00:00']
08-17,['htpc', 'tv'],>,['14:00:00', '14:00:00']
08-18,['kitchen_lights', 'microwave'],>,['07:45:00', '08:00:00']
08-18,['kitchen_lights', 'microwave'],>,['11:00:00', '11:00:00']
08-18,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:00:00', '19:00:00']
08-18,['amp_livingroom', 'kitchen_lights'],>,['06:30:00', '07:45:00']
08-18,['amp_livingroom', 'tv'],>,['19:15:00', '19:15:00']
08-18,['amp_livingroom', 'subwoofer_livingroom'],>,['06:30:00', '06:30:00']
08-18,['amp_livingroom', 'subwoofer_livingroom'],>,['10:30:00', '10:30:00']
08-18,['amp_livingroom', 'subwoofer_livingroom'],>,['19:15:00', '19:15:00']
08-18,['subwoofer_livingroom', 'kitchen_lights'],>,['06:30:00', '07:45:00']
08-18,['subwoofer_livingroom', 'tv'],>,['19:15:00', '19:15:00']
08-18,['htpc', 'kitchen_lights'],>,['10:30:00', '11:00:00']
08-18,['htpc', 'kitchen_lights'],>,['10:30:00', '16:00:00']
08-18,['htpc', 'kitchen_lights'],>,['10:30:00', '16:45:00']
08-18,['htpc', 'kitchen_lights'],>,['10:30:00', '19:00:00']
08-18,['htpc', 'kitchen_lights'],>,['10:30:00', '22:00:00']
08-18,['htpc', 'tv'],>,['10:30:00', '19:15:00']
08-18,['htpc', 'subwoofer_livingroom'],>,['10:30:00', '10:30:00']
08-18,['htpc', 'subwoofer_livingroom'],>,['10:30:00', '19:15:00']
08-18,['hair_dryer', 'straighteners'],>,['09:15:00', '09:15:00']
08-19,['kitchen_lights', 'microwave'],>,['06:30:00', '06:45:00']
08-19,['kitchen_lights', 'microwave'],>,['07:30:00', '07:45:00']
08-19,['kitchen_lights', 'microwave'],>,['11:30:00', '11:45:00']
08-19,['kitchen_lights', 'microwave'],>,['19:30:00', '19:30:00']
08-19,['tv', 'kitchen_lights'],>,['19:30:00', '19:30:00']
08-19,['tv', 'kitchen_lights'],>,['19:30:00', '20:00:00']
08-19,['tv', 'kitchen_lights'],>,['19:30:00', '20:45:00']
08-19,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:30:00', '19:30:00']
08-19,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:30:00', '20:00:00']
08-19,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:30:00', '20:45:00']
08-19,['amp_livingroom', 'kitchen_lights'],>,['19:45:00', '20:00:00']
08-19,['amp_livingroom', 'kitchen_lights'],>,['19:45:00', '20:45:00']
08-19,['amp_livingroom', 'tv'],>,['12:00:00', '12:45:00']
08-19,['amp_livingroom', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
08-19,['subwoofer_livingroom', 'kitchen_lights'],>,['06:45:00', '07:30:00']
08-19,['subwoofer_livingroom', 'kitchen_lights'],>,['06:45:00', '11:30:00']
08-19,['subwoofer_livingroom', 'kitchen_lights'],>,['19:45:00', '20:00:00']
08-19,['subwoofer_livingroom', 'kitchen_lights'],>,['19:45:00', '20:45:00']
08-19,['subwoofer_livingroom', 'tv'],>,['06:45:00', '12:45:00']
08-19,['htpc', 'kitchen_lights'],>,['19:30:00', '19:30:00']
08-19,['htpc', 'kitchen_lights'],>,['19:30:00', '20:00:00']
08-19,['htpc', 'kitchen_lights'],>,['19:30:00', '20:45:00']
08-19,['htpc', 'tv'],>,['12:45:00', '12:45:00']
08-19,['gigE_&_USBhub', 'laptop'],>,['15:00:00', '15:00:00']
08-20,['kitchen_lights', 'microwave'],>,['08:45:00', '09:00:00']
08-20,['kitchen_lights', 'microwave'],>,['13:00:00', '13:15:00']
08-20,['tv', 'kitchen_lights'],>,['13:00:00', '13:00:00']
08-20,['tv', 'kitchen_lights'],>,['18:45:00', '20:15:00']
08-20,['amp_livingroom', 'kitchen_lights'],>,['06:00:00', '06:30:00']
08-20,['amp_livingroom', 'kitchen_lights'],>,['06:00:00', '08:15:00']
08-20,['amp_livingroom', 'kitchen_lights'],>,['06:00:00', '08:45:00']
08-20,['amp_livingroom', 'kitchen_lights'],>,['06:00:00', '12:00:00']
08-20,['amp_livingroom', 'kitchen_lights'],>,['06:00:00', '13:00:00']
08-20,['amp_livingroom', 'kitchen_lights'],>,['18:45:00', '20:15:00']
08-20,['amp_livingroom', 'tv'],>,['06:00:00', '13:00:00']
08-20,['amp_livingroom', 'tv'],>,['18:45:00', '18:45:00']
08-20,['amp_livingroom', 'subwoofer_livingroom'],>,['06:00:00', '06:00:00']
08-20,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '19:00:00']
08-20,['subwoofer_livingroom', 'kitchen_lights'],>,['06:00:00', '06:30:00']
08-20,['subwoofer_livingroom', 'kitchen_lights'],>,['06:00:00', '08:15:00']
08-20,['subwoofer_livingroom', 'kitchen_lights'],>,['06:00:00', '08:45:00']
08-20,['subwoofer_livingroom', 'kitchen_lights'],>,['06:00:00', '12:00:00']
08-20,['subwoofer_livingroom', 'kitchen_lights'],>,['06:00:00', '13:00:00']
08-20,['htpc', 'kitchen_lights'],>,['13:00:00', '13:00:00']
08-20,['htpc', 'kitchen_lights'],>,['18:45:00', '20:15:00']
08-20,['htpc', 'tv'],>,['13:00:00', '13:00:00']
08-20,['htpc', 'tv'],>,['18:45:00', '18:45:00']
08-20,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '19:00:00']
08-21,['kitchen_lights', 'microwave'],>,['05:45:00', '06:00:00']
08-21,['kitchen_lights', 'microwave'],>,['08:00:00', '08:00:00']
08-21,['kitchen_lights', 'microwave'],>,['15:30:00', '17:30:00']
08-21,['amp_livingroom', 'kitchen_lights'],>,['05:45:00', '05:45:00']
08-21,['subwoofer_livingroom', 'kitchen_lights'],>,['05:45:00', '05:45:00']
08-21,['subwoofer_livingroom', 'kitchen_lights'],>,['05:45:00', '08:00:00']
08-21,['gigE_&_USBhub', 'lcd_office'],>,['06:45:00', '14:15:00']
08-21,['gigE_&_USBhub', 'laptop'],>,['06:45:00', '07:45:00']
08-21,['laptop', 'lcd_office'],>,['07:45:00', '14:15:00']
08-21,['hair_dryer', 'straighteners'],>,['07:45:00', '07:45:00']
08-25,['kitchen_lights', 'microwave'],>,['07:00:00', '07:00:00']
08-25,['kitchen_lights', 'microwave'],>,['13:30:00', '13:30:00']
08-25,['tv', 'kitchen_lights'],>,['05:45:00', '06:30:00']
08-25,['tv', 'kitchen_lights'],>,['12:45:00', '12:45:00']
08-25,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:30:00', '21:00:00']
08-25,['amp_livingroom', 'kitchen_lights'],>,['05:45:00', '06:30:00']
08-25,['amp_livingroom', 'kitchen_lights'],>,['12:45:00', '12:45:00']
08-25,['amp_livingroom', 'tv'],>,['05:45:00', '05:45:00']
08-25,['amp_livingroom', 'tv'],>,['12:45:00', '12:45:00']
